Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.04,-0.02,0.993,0.46,-1.07,-0.25
0.037,-0.022,0.996,0.41,-1.06,-0.26
0.037,-0.022,0.995,0.45,-1.09,-0.24
0.041,-0.021,0.992,0.41,-1.07,-0.26
0.038,-0.02,0.995,0.42,-1.07,-0.25
0.039,-0.021,0.995,0.46,-1.04,-0.25
0.04,-0.021,0.994,0.46,-1.07,-0.24
0.048,-0.007,0.998,0.47,-1.03,-0.26
0.037,-0.021,0.994,0.44,-1.01,-0.25
0.04,-0.022,0.992,0.46,-1.05,-0.25
0.037,-0.023,0.998,0.4,-1.03,-0.26
0.035,-0.022,0.996,0.43,-1.04,-0.25
0.039,-0.019,0.993,0.48,-1.08,-0.22
0.037,-0.022,0.997,0.44,-1.06,-0.25
0.037,-0.02,0.995,0.42,-1.05,-0.21
0.041,-0.018,0.991,0.39,-1.05,-0.26
0.037,-0.018,0.996,0.43,-1.06,-0.26
0.036,-0.02,1.0,0.45,-1.06,-0.25
0.039,-0.02,0.993,0.46,-1.05,-0.24
0.036,-0.019,0.994,0.44,-1.07,-0.25
0.037,-0.021,0.995,0.45,-1.07,-0.24
0.039,-0.021,0.991,0.43,-1.06,-0.26
0.037,-0.021,0.996,0.46,-1.07,-0.24
0.037,-0.024,0.995,0.38,-1.05,-0.28
0.04,-0.021,0.992,0.42,-1.05,-0.25
0.038,-0.021,0.994,0.45,-1.07,-0.24
0.039,-0.023,0.995,0.45,-1.07,-0.25
0.04,-0.02,0.992,0.45,-1.06,-0.25
0.037,-0.021,0.998,0.45,-1.07,-0.25
0.037,-0.022,0.996,0.45,-1.06,-0.25
0.04,-0.02,0.992,0.44,-1.07,-0.25
0.036,-0.021,0.996,0.42,-1.06,-0.25
0.036,-0.023,0.996,0.42,-1.06,-0.25
